Type,Genus,Tube colour,Botanical name,Common name,Height (m),Spread (m),Rain (mm),Soil texture,Soil pH,Frost,Flower colour,Flower (time)
Trees and Shrubs,Acacia ,B,acinacea ,round-leaved wattle,1-2,1-2,300,"Sa,Lo,Cl",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,argyrophylla,golden-grey mulga,1-5,2-6,350,"Sa,Lo,Li",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,brachybotrya,grey mulga,2-4,1.5-4,250,"Sa,Lo,Cl,Li",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,calamifolia,wallowa ,2-5,2-4,200,"Sa,Lo,Cl,Li",ANC,M,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,farinosa,mealy wattle,1-2,2-4,350,"Sa, Lo, Li",ANC,M,Y,"W, Sp"
Trees and Shrubs,Acacia ,B,floribunda,gossamer wattle,4-7,4-6,550,"Lo,Cl",AN/C,M,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,glandulicarpa,hairy-pod wattle,1-3,1-3,350,"Sa,Lo",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,gunnii,ploughshare wattle,0.2-0.8,1-2,500,"Sa,Lo,Cl",AN,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,hakeoides,hakea wattle,2.5-4,3-5,250,"Sa,Lo",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,howittii,sticky wattle,4-8,3-6,450,"Lo,Cl",ANC,R,Y,Sp
Trees and Shrubs,Acacia ,B,ligulata,umbrella wattle,2-4,4-6,150,"Sa,Lo,Cl Li",ANC,R,Y,Sp
Trees and Shrubs,Acacia ,B,lineata,streaked wattle,0.5-3,1-3,500,"Sa,Lo,Cl",ANC,M,Y,Sp
Trees and Shrubs,Acacia ,B,longifolia var. sophorae,coastal wattle,2-5,4-8,450,"Sa,Lo",ANC,M,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,melanoxylon SA forms,blackwood,7-20,4-10,500,"Lo,Cl",AN/C,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,microcarpa,manna wattle,1-3,2-4,300,"Sa,Cl,Lo,Li",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,montana,mallee wattle,2-4,2-5,325,"Sa,Cl,Lo,Li",ANC,R,Y,Sp
Trees and Shrubs,Acacia ,B,myrtifolia,myrtle wattle,1-2,1-2,500,"Lo,Cl",AN/C,M,Y,Sp
Trees and Shrubs,Acacia ,B,notabilis,notable wattle,3-6,3-4,250,"Lo,Li,Cl",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,paradoxa ,kangaroo thorn,2-4,3-4,300,"Sa,Lo,Cl,Li",ANC,M,Y,Sp
Trees and Shrubs,Acacia ,B,pendula,weeping myall,6-10,6-8,250,"Lo,Cl",ANC,M,Y,"A,W,Sp"
Trees and Shrubs,Acacia ,B,pravissima,Oven’s wattle,4-8,4-8,500,"Sa,Lo,Cl",AN/C,M,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,pycnantha,golden wattle,4-6,2-6,450,"Sa,Lo,Cl",ANC,M,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,retinodes ,wirilda,5-8,3-7,500,"Lo,Cl",ANC,M,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,rigens,nealie,2-4,2-4,200,"Sa,Lo,Cl,Li",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,rupicola,rock wattle,1-2.5,1-2.5,350,"Sa,Lo,Cl,Li",ANC,R,Y,"Sp,S"
Trees and Shrubs,Acacia ,B,salicina,Broughton willow ,4-10,3-5,300,"Lo,Cl",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,sclerophylla var. sclerophylla,hard-leaf wattle,1-2,2-4,250,"Sa,Lo,Cl,Li",ANC,R,Y,Sp
Trees and Shrubs,Acacia ,B,verniciflua,varnish wattle,3-5,3-5,450,"Sa,Lo,Cl",AN/C,M,Y,"W,Sp,S"
Trees and Shrubs,Acacia ,B,verticillata ssp ovoidea,prickly moses,2-4,1-3,600,"Lo,Cl",AN/C,M,Y,"W,Sp,S"
Trees and Shrubs,Acacia ,B,wilhelmiana,dwarf nealie,1-3,2-3,250,"Cl,Lo,Li",ANC,R,Y,"W,Sp"
Trees and Shrubs,Adriana,B,quadripartita syn.klotzschii,coastal bitter bush,1-2,1-3,350,"Sa,Lo",ANC,M,R/Br,"Sp,S"
Trees and Shrubs,Allocasuarina,B,luehmannii,bull oak,8-20,5-8,550,"Sa,Lo,Cl",ANC,R,I,Sp
Trees and Shrubs,Allocasuarina,B,muelleriana ssp muelleriana,slaty sheoak,1-3,2-3,400,"Sa,Lo,Cl",ANC,M,I,"Sp,S"
Trees and Shrubs,Allocasuarina,B,pusilla,dwarf sheoak,1-2,1-2,350,"Sa,Lo,Cl,Li",ANC,R,I,"A,W,Sp"
Trees and Shrubs,Allocasuarina,B,verticillata Coastal form,drooping sheoak,5-8,4-6,400,"Sa,Lo,Cl,Li",ANC,R,"R,Br","A,W"
Trees and Shrubs,Allocasuarina,B,verticillata Dryland form  ,drooping sheoak,5-8,4-6,350,"Sa,Lo,Cl,Li",ANC,R,"R,Br","A,W"
Trees and Shrubs,Allocasuarina,B,verticillata Hills form,drooping sheoak,5-8,4-6,500,"Sa,Lo,Cl,Li",ANC,M,"R,Br","A,W"
Trees and Shrubs,Atriplex,B,cinerea,coastal saltbush,1,1-2,350,"Sa,Li",ANC,M,I,F
Trees and Shrubs,Atriplex,B,paludosa,marsh saltbush,0.5-1,0.5-1,300,"Sa,Lo,Cl",ANC,R,I,F
Trees and Shrubs,Atriplex,B,rhagodioides,river saltbush,0.5-2,1-2,250,"Sa,Lo",ANC,R,I,F
Trees and Shrubs,Atriplex,B,vesicaria,bladder saltbush,0.5-1,1-2,250,"Sa,Lo,Cl",ANC,R,I,F
Trees and Shrubs,Babingtonia syn Baeckea,B,behrii,silver broombush,2-3,1-2,350,"Sa,Lo,Li",ANC,R,W,"Sp,S"
Trees and Shrubs,Banksia,G,integrifolia,coast banksia,8-15,5-8,450,"Sa,Lo,Cl",ANC,M,Y,F
Trees and Shrubs,Banksia,B,marginata,silver banksia,2-8,1-5,500,"Sa,Lo,Cl",ANC,R,Y,"Sp,S,A"
Trees and Shrubs,Banksia,B,ornata,desert banksia,1-2,1-2,400,"Sa, Lo",AN/C,M,Y/B,"A, W"
Trees and Shrubs,Banksia,G,serrata,old man banksia,2-10,2-7,500,"Sa,Lo",AN,M,Y,Sp
Trees and Shrubs,Banksia,G,spinulosa,hairpin banksia,2-4,2-5,600,"Sa, Lo, Cl",AN,R,Y,"A, W"
Trees and Shrubs,Bauera,G,rubioides ,wiry bauera,0.5-2,1-3,650,"Lo, Cl",AN,M,"W, Pk",F
Trees and Shrubs,Boronia ,G,coerulescens ssp coerulescens,blue boronia,0.5,0.5,400,"Sa,Lo",ANC,R,"B,W","A,W,Sp"
Trees and Shrubs,Boronia ,G,filifolia,slender boronia,0.5-1,0.5–1,450,"Sa, Lo, Cl",ANC,M,Pk,"Sp, S"
Trees and Shrubs,Brachychiton,B,populneus,kurrajong,8-15,6-10,400,"Lo, Cl, Li",ANC,R,Cr/Pk,"Sp, S"
Trees and Shrubs,Callistemon,B,brachyandrus,prickly bottlebrush,2-3,1-3.5,450,"Sa,Lo,Cl,Li",ANC,R,R,"S, A"
Trees and Shrubs,Callistemon,B,citrinus,crimson bottlebrush,2-5,2-5,450,"Sa, Lo, Cl",ANC,M,R,"Sp, S"
Trees and Shrubs,Callistemon,B,pallidus,lemon bottlebrush,2-5,2-4,550,"Sa, Lo, Cl",ANC,R,Y,"Sp, S"
Trees and Shrubs,Callistemon,B,sieberi,river bottlebrush,2-4,2-3,500,"Lo, Cl",ANC,M,Cr,Sp
Trees and Shrubs,Casuarina,B,obesa,swamp oak,10-15,5-10,350,"Sa,Lo, Cl, Li",ANC,R,I,"W, Sp"
Trees and Shrubs,Casuarina,B,pauper syn C.cristata,"black oak, belah",6-15,4-8,200,"Lo, Cl, Li",ANC,R,R,S
Trees and Shrubs,Cheiranthera,G,alternifolia ,finger flower,0.3,0.3,450,"Sa, Lo, Cl",AN,M,B,Sp
Trees and Shrubs,Correa,G,alba var. alba,white correa,2-2.5,2-2.5,400,"Sa,Lo,Cl,Li",ANC,M,W,"S, A"
Trees and Shrubs,Correa,G,backhouseana ,velvet correa,1-2,2-3,500,"Sa,Lo,Cl",ANC,M,"G,Cr","A,W,Sp"
Trees and Shrubs,Correa,G,glabra var. turnbullii,rock correa,1-1.5,1-1.5,400,"Sa,Lo,Cl,Li",ANC,R,G/R,"A,W"
Trees and Shrubs,Corymbia  formerly Eucalyptus,B,maculata ,spotted gum,10-40,8-20,500,"Lo, Cl",ANC,S/M,Cr,"S,W,Sp"
Trees and Shrubs,Crowea ,G,exalata,wax flower,0.5-1,0.5-1.5,600,"Sa, Lo, Cl",AN,M,Pk,"S, A"
Trees and Shrubs,Daviesia ,B,leptophylla,blunt leaf bitter-pea,1-2.5,1-2,500,"Sa, Lo, Cl",AN,M,Y/R,Sp
Trees and Shrubs,Dillwynia,G,hispida,red parrot-pea,0.2-0.6,0.3-1,450,"Sa, Lo, Cl",ANC,M,O/R,Sp
Trees and Shrubs,Dodonaea,B,bursariifolia,low hop bush,0.5-1.5,0.7-1.5,400,"Sa,Lo,Li",ANC,R,I,"Sp,S"
Trees and Shrubs,Dodonaea,B,stenozyga,desert hop bush,0.5-1,1-3,300,"Sa, Li, Cl,Li",ANC,R,I,"Sp,S"
Trees and Shrubs,Eremophila,G,crassifolia,trim emu bush,1,1,350,"Sa,Lo,Cl,Li",ANC,R,B,"Sp, S"
Trees and Shrubs,Eremophila,G,divaricata ssp divaricata,spreading emu bush,1-2,1-3,350,"Sa,Lo,Cl,Li",ANC,M,Pu,"Sp, S"
Trees and Shrubs,Eremophila,G,oppositifolia,twin-leaf emu bush,1.5-4,1-3,300,"Sa,Lo,Cl,Li",ANC,R,"Cr, Pk","W,Sp,S"
Trees and Shrubs,Eremophila,G,polyclada,flowering lignum,2-4,2-4,400,"Sa,Lo,Cl,Li",ANC,M,W,"Sp, S"
Trees and Shrubs,Eremophila,G,scoparia,broom emu bush,1-3,1-1.5,250,"Sa,Lo,Cl,Li",ANC,R,Pu,"W,Sp"
Trees and Shrubs,Eucalyptus ,B,albens,white box,15-25,10-15,450,"Sa,Lo,Cl",ANC,R,W,"S,W"
Trees and Shrubs,Eucalyptus ,B,arenacea ,sand stringybark,4-8,4-8,450,"Sa,Lo",ANC,R,W,"S,A"
Trees and Shrubs,Eucalyptus ,B,baxteri,brown stringybark,6-25,6-15,650,"Sa,Lo,Cl",AN,R,W,"S,A"
Trees and Shrubs,Eucalyptus ,B,botryoides,bangalay,10-30,10-15,600,"Sa,Lo, Cl",ANC,S/M,W,"S, A"
Trees and Shrubs,Eucalyptus ,B,calycogona,square-fruited mallee,3-10,3-8,300,"Sa, Lo, Li",ANC,R,"Cr, Pk","Sp, S"
Trees and Shrubs,Eucalyptus ,B,cinerea,argyle apple,7-15,5-8,600,"Lo, Cl",AN/C,R,W,"S, A"
Trees and Shrubs,Eucalyptus ,B,crenulata,Victorian silver gum,4-12,3-10,600,"Sa, Lo, Cl",AN/C,R,W,S
Trees and Shrubs,Eucalyptus ,B,cyanophylla,blue-leaved mallee,2-6,3-8,250,"Sa,Lo,Li",ANC,M,Cr,Sp
Trees and Shrubs,Eucalyptus ,B,dalrympleana ssp dalrympleana,candlebark gum,15-35,10-30,750,"Lo, Cl",AN,R,W,"Sp, S"
Trees and Shrubs,Eucalyptus ,B,diversifolia ssp diversifolia,SA coastal white mallee,2-10,2-8,350,"Sa, Lo, Li",ANC,M,Cr,"W, Sp"
Trees and Shrubs,Eucalyptus ,B,dumosa,white mallee,4-8,4-5,300,"Lo, Cl, Li",ANC,R,Cr,"W,Sp,S"
Trees and Shrubs,Eucalyptus ,B,fasciculosa,pink gum,5-18,5-12,450,"Sa, Lo, Cl",ANC,M,Cr,"S, A"
Trees and Shrubs,Eucalyptus ,B,globulus,Tasmanian blue gum,15-50,10-20,700,"Sa, Lo, Cl",AN/C,R,W,"W, Sp"
Trees and Shrubs,Eucalyptus ,B,goniocalyx ssp. goniocalyx,long-leaved box,8-20,6-15,500,"Sa, Lo, Cl",AN/C,M,W,S
Trees and Shrubs,Eucalyptus ,B,gracilis ,yorrell,3-9,3-8,200,"Sa, Lo, Li",ANC,M,W,"A,W,Sp"
Trees and Shrubs,Eucalyptus ,B,incrassata,ridge-fruited mallee,3-7,3-6,350,"Sa, Lo",ANC,M,Cr,"Sp, S"
Trees and Shrubs,Eucalyptus ,B,largiflorens,river box,6-20,6-15,350,"Lo,Cl",ANC,R,W,"Sp,S"
Trees and Shrubs,Eucalyptus ,B,leptophylla,narrow-leaved red mallee,2-6,3-8,200,"Sa,Lo,Li",ANC,R,W,"A,W,Sp"
Trees and Shrubs,Eucalyptus ,B,leucoxylon ssp leucoxylon,S.A. blue gum,8-30,8-25,500,"Sa,Lo, Cl",ANC,R,"Cr,Pk,R","A, W"
Trees and Shrubs,Eucalyptus ,B,leucoxylon ssp megalocarpa,large-fruited SA.blue gum,6-12,6-10,400,"Sa,Lo,Cl,Li",ANC,R,"R,Pk,Cr","A,W,Sp"
Trees and Shrubs,Eucalyptus ,B,leucoxylon ssp pruinosa,inland blue gum,6-20,3-12,400,"Sa,Lo, Cl",ANC,M,W,S
Trees and Shrubs,Eucalyptus ,B,leucoxylon ssp stephaniae,scrubby blue gum,4-15,2-10,450,"Sa,Lo,Cl,Li",ANC,R,"Pk,Cr","A,W,Sp"
Trees and Shrubs,Eucalyptus ,B,melliodora,yellow box,20-35,20-30,400,"Lo, Cl",ANC,M,Cr,"Sp,S,A"
Trees and Shrubs,Eucalyptus ,B,microcarpa,grey box,6-20,8-20,500,"Lo, Cl, Li",ANC,R,Cr,"S, W"
Trees and Shrubs,Eucalyptus ,B,obliqua,messmate stringybark,15-40,12-25,800,"Lo, Cl",AN,M,W,S
Trees and Shrubs,Eucalyptus ,B,odorata,peppermint box,7-15,6-12,350,"Sa, Lo, Cl",ANC,R,Cr,F
Trees and Shrubs,Eucalyptus ,B,oleosa ssp oleosa,red mallee,3-12,3-12,300,"Sa, Lo, Li",ANC,R,W,"W, Sp"
Trees and Shrubs,Eucalyptus ,B,ovata var. ovata,swamp gum,6-20,5-15,650,"Sa, Lo, Cl",ANC,R,W,"A, W"
Trees and Shrubs,Eucalyptus ,B,perriniana,spinning gum,4-10,4-8,650,"Sa, Lo, Cl",AN/C,R,W,S
Trees and Shrubs,Eucalyptus ,B,phenax ssp phenax,white mallee,3-7,3-5,300,"Sa,Lo,Cl,Li",ANC,R,Cr,"S, A"
Trees and Shrubs,Eucalyptus ,B,polyanthemos,red box,10-25,5-15,500,"Sa,Lo,Cl",AN,R,Cr,"Sp,S"
Trees and Shrubs,Eucalyptus ,B,polybractea,blue mallee,4-10,4-8,400,"Sa,Lo,Cl",ANC,M,Cr,Sp
Trees and Shrubs,Eucalyptus ,B,porosa,mallee box,5-14,5-12,300,"Sa,Lo,Cl,Li",ANC,M,W,Sp
Trees and Shrubs,Eucalyptus ,B,sideroxylon ssp. sideroxylon,red ironbark,10-30,8-15,500,"Lo, Cl",ANC,R,"Cr,Pk","A, W"
Trees and Shrubs,Eucalyptus ,B,socialis ssp socialis,red mallee,4-8,4-8,250,"Sa, Lo, Li",ANC,R,Cr,"Sp, S"
Trees and Shrubs,Eucalyptus ,B,viminalis ssp cygnetensis,rough-barked manna gum,6-20,8-20,550,"Sa, Lo, Cl",ANC,M,W,"S, A"
Trees and Shrubs,Eucalyptus ,B,viminalis ssp viminalis,manna gum,15-40,12-30,650,"Sa,Lo, Cl",AN,R,W,"Sp, S,A"
Trees and Shrubs,Eucalyptus ,B,viridis,green mallee,4-8,3-5,250,"Sa,,Lo,Cl,Li",ANC,M,W,S
Trees and Shrubs,Glischrocaryon,G,behrii,golden pennants,0.2-1,0.3-1,300,"Sa,Lo,Cl",ANC,M,Y,"Sp,S"
Trees and Shrubs,Goodenia,G,amplexans,clasping goodenia,0.5-1.2,0.5-1,400,"Sa,Lo,Cl",ANC,M,Y,"Sp,S"
Trees and Shrubs,Goodenia,G,ovata ,hop goodenia,1-2.5,1-3,450,"Sa, Lo, Cl",AN/C,M,Y,"Sp, S"
Trees and Shrubs,Grevillea,G,huegelii,comb grevillea,0.5-2.5,1.5-3,300,"Sa, Lo",AN/C,M,Bu/R,Sp
Trees and Shrubs,Grevillea,G,ilicifolia ssp ilicifolia,holly grevillea,0.1-2,1-3,400,"Sa, Lo, Cl",ANC,M,"R, G","W,Sp,S"
Trees and Shrubs,Grevillea,G,pterosperma,desert grevillea,2-3,2-4,250,"Sa,Lo",ANC,R,Cr,"Sp,S"
Trees and Shrubs,Hakea,B,mitchellii syn H. muelleriana,desert hakea,1-4,1-3,350,"Sa,Lo,Cl,Li",ANC,R,W,S
Trees and Shrubs,Hakea,B,nodosa,yellow hakea,1-3,2-4,600,"Lo, Cl",AN/C,M,Y,"A, W"
Trees and Shrubs,Hakea,B,rostrata,beaked hakea,1-4,1-3,400,"Sa,Lo,Cl",ANC,M,W,"W, Sp"
Trees and Shrubs,Hakea,B,rugosa,wrinkled hakea,0.5-2.5,1-2,450,"Sa, Lo, Cl",AN/C,M,W,"W, Sp"
