x,Trees and Shrubs,Groundcover,Climbers,Grasses,Strap-leaved Plants,Bulbs and Lilies,Aquatic and Riparian Zone Plants,Rushes and Sedges
string,number,number,number,number,number,number,number,number
Jul-18,0.443980969,0.346890476,0,0.607982143,0.137416667,0.291,0,0
Aug-18,0.854027027,0.9928,1,1,0.965496503,1,0.9424,0.933818182
Sep-18,0.248023022,0.126514286,0,0.421714286,0,0,0,0
Oct-18,0.355990772,0.273857143,0,0.564107143,0.0675,0.27,0,0
Nov-18,0.099447514,0.05,0,0,0.125,0,0.4,0
Dec-18,0.049723757,0,0,0,0.125,0,0,0
Jan-19,0.071036464,0,0,0,0,0,0,0
Feb-19,0.366752158,0.282985714,0,0.582910714,0.06975,0.279,0,0
Mar-19,0.076110497,0,0,0,0,0,0,0
Apr-19,0.00318232,0,0,0,0,0,0,0
May-19,0.781690086,0.85,1,0.625,0.998230769,1,1,1
Jun-19,0.87225316,0.9998,1,1,0.989923077,1,0.9984,1
Jul-19,0.862571115,0.9952,1,1,0.97758042,1,0.9616,0.986181818
Aug-19,0.861859108,0.995,1,1,0.976573427,1,0.96,0.981818182